#,Context,Name,Version,License,Comment
1,python,fastapi,0.115.14,UNKNOWN,Direct dependency · Syft
2,python,uvicorn,0.32.1,UNKNOWN,Direct dependency · Syft
3,python,pydantic,2.13.3,UNKNOWN,Direct dependency · Syft
4,python,pydantic-settings,2.14.0,UNKNOWN,Direct dependency · Syft
5,python,python-dotenv,1.2.2,UNKNOWN,Direct dependency · Syft
6,python,livekit-agents,1.5.6,UNKNOWN,Direct dependency · Syft
7,python,sqlalchemy,2.0.49,UNKNOWN,Direct dependency · Syft
8,python,alembic,1.18.4,UNKNOWN,Direct dependency · Syft
9,python,psycopg,3.3.3,UNKNOWN,Direct dependency · Syft
10,python,structlog,24.4.0,UNKNOWN,Direct dependency · Syft
11,python,prometheus-fastapi-instrumentator,7.1.0,UNKNOWN,Direct dependency · Syft
12,python,prometheus-client,0.22.1,UNKNOWN,Direct dependency · Syft
13,python,opentelemetry-api,1.39.1,UNKNOWN,Direct dependency · Syft
14,python,opentelemetry-sdk,1.39.1,UNKNOWN,Direct dependency · Syft
15,python,httpx,0.28.1,UNKNOWN,Direct dependency · Syft
16,npm,react,19.2.5,MIT,Direct dependency · Syft
17,npm,react-dom,19.2.5,MIT,Direct dependency · Syft
18,npm,livekit-client,2.18.6,Apache-2.0,Direct dependency · Syft
19,npm,@livekit/components-react,2.9.20,Apache-2.0,Direct dependency · Syft
20,npm,@livekit/components-styles,1.2.0,Apache-2.0,Direct dependency · Syft
21,npm,react-router-dom,7.14.2,MIT,Direct dependency · Syft
22,npm,sonner,2.0.7,MIT,Direct dependency · Syft
23,npm,next-themes,0.4.6,MIT,Direct dependency · Syft
24,npm,@radix-ui/react-slot,1.3.0,MIT,Direct dependency · Syft
25,npm,class-variance-authority,0.7.1,Apache-2.0,Direct dependency · Syft
26,npm,clsx,2.1.1,MIT,Direct dependency · Syft
27,npm,lucide-react,0.460.0,ISC,Direct dependency · Syft
28,npm,radix-ui,1.4.3,MIT,Direct dependency · Syft
29,npm,tailwind-merge,2.6.1,MIT,Direct dependency · Syft
30,python,aiosqlite,0.22.1,UNKNOWN,Direct dependency · Syft
