#,Context,Name,Version,License,Comment
1,npm,@bufbuild/protobuf,1.10.1,Apache-2.0 AND BSD-3-Clause,Syft scan (2026-07-01T23:05:34Z)
2,npm,@floating-ui/core,1.7.5,MIT,Syft scan (2026-07-01T23:05:34Z)
3,npm,@floating-ui/dom,1.7.4,MIT,Syft scan (2026-07-01T23:05:34Z)
4,npm,@floating-ui/dom,1.7.6,MIT,Syft scan (2026-07-01T23:05:34Z)
5,npm,@floating-ui/react-dom,2.1.8,MIT,Syft scan (2026-07-01T23:05:34Z)
6,npm,@floating-ui/utils,0.2.11,MIT,Syft scan (2026-07-01T23:05:34Z)
7,npm,@livekit/components-core,0.12.13,Apache-2.0,Syft scan (2026-07-01T23:05:34Z)
8,npm,@livekit/components-react,2.9.20,Apache-2.0,Syft scan (2026-07-01T23:05:34Z)
9,npm,@livekit/components-styles,1.2.0,Apache-2.0,Syft scan (2026-07-01T23:05:34Z)
10,npm,@livekit/mutex,1.1.1,Apache-2.0,Syft scan (2026-07-01T23:05:34Z)
11,npm,@livekit/protocol,1.45.3,Apache-2.0,Syft scan (2026-07-01T23:05:34Z)
12,npm,@radix-ui/number,1.1.1,MIT,Syft scan (2026-07-01T23:05:34Z)
13,npm,@radix-ui/primitive,1.1.3,MIT,Syft scan (2026-07-01T23:05:34Z)
14,npm,@radix-ui/primitive,1.1.4,MIT,Syft scan (2026-07-01T23:05:34Z)
15,npm,@radix-ui/react-accessible-icon,1.1.7,MIT,Syft scan (2026-07-01T23:05:34Z)
16,npm,@radix-ui/react-accordion,1.2.12,MIT,Syft scan (2026-07-01T23:05:34Z)
17,npm,@radix-ui/react-alert-dialog,1.1.15,MIT,Syft scan (2026-07-01T23:05:34Z)
18,npm,@radix-ui/react-alert-dialog,1.1.18,MIT,Syft scan (2026-07-01T23:05:34Z)
19,npm,@radix-ui/react-arrow,1.1.7,MIT,Syft scan (2026-07-01T23:05:34Z)
20,npm,@radix-ui/react-aspect-ratio,1.1.7,MIT,Syft scan (2026-07-01T23:05:34Z)
21,npm,@radix-ui/react-avatar,1.1.10,MIT,Syft scan (2026-07-01T23:05:34Z)
22,npm,@radix-ui/react-checkbox,1.3.3,MIT,Syft scan (2026-07-01T23:05:34Z)
23,npm,@radix-ui/react-collapsible,1.1.12,MIT,Syft scan (2026-07-01T23:05:34Z)
24,npm,@radix-ui/react-collection,1.1.7,MIT,Syft scan (2026-07-01T23:05:34Z)
25,npm,@radix-ui/react-compose-refs,1.1.2,MIT,Syft scan (2026-07-01T23:05:34Z)
26,npm,@radix-ui/react-compose-refs,1.1.3,MIT,Syft scan (2026-07-01T23:05:34Z)
27,npm,@radix-ui/react-context,1.1.2,MIT,Syft scan (2026-07-01T23:05:34Z)
28,npm,@radix-ui/react-context,1.1.4,MIT,Syft scan (2026-07-01T23:05:34Z)
29,npm,@radix-ui/react-context-menu,2.2.16,MIT,Syft scan (2026-07-01T23:05:34Z)
30,npm,@radix-ui/react-dialog,1.1.15,MIT,Syft scan (2026-07-01T23:05:34Z)
